player,season,mp,y_defense,baseline,structure_penalty_l2_0.05,structure_penalty_l2_0.10,structure_penalty_l2_0.25,published_output_0.075
DeMarre Carroll,2013-14,2341.0,2.5999999046325684,1.8479410217848748,1.7006330183731544,1.6577879944810676,1.646741486129438,1.8024048257217384
Nicolas Batum,2013-14,2956.0,0.0,0.29369478372737634,0.3337011195654801,0.24435620235350075,0.22510458563135605,0.22293948573649436
John Wall,2013-14,2980.0,-0.20000000298023224,0.3205219917564257,0.2710243647462182,0.21271764558796535,0.25525625595770385,0.28287930830530433
Andre Iguodala,2013-14,2040.0,2.5999999046325684,2.86118291667442,2.8817250591445625,2.765878158150141,2.728579096703852,2.811465868130541
DeAndre Jordan,2013-14,2870.0,1.100000023841858,2.3164585111507625,1.842610105903132,1.7844121196367513,1.6890275088686364,2.213039628867411
Ty Lawson,2013-14,2222.0,-0.30000001192092896,-1.9171411276487191,-1.5769638070732634,-1.5971254352497892,-1.6972622467851488,-1.9133515071072458
Chandler Parsons,2013-14,2783.0,-0.800000011920929,-0.08186009120035738,-0.15729929088904163,-0.19561111379170384,-0.15208937739670064,-0.10454906278240997
Manu Ginobili,2013-14,1550.0,1.100000023841858,1.6010935044006325,1.827277349038198,1.808538028041961,1.7464665248931026,1.5810702518572917
Marcin Gortat,2013-14,2655.0,2.5,2.8118823925100385,2.7126566340866454,2.7317346116504457,2.691144472976049,2.7841012350098824
George Hill,2013-14,2434.0,2.0999999046325684,1.23256652347581,1.8946149444711242,1.8985520463227907,1.9255179188569627,1.3050974166696183
Danny Green,2013-14,1651.0,4.0,2.614641151836647,2.976684878661859,2.9313118898707535,2.9420102773547674,2.628167341641499
Serge Ibaka,2013-14,2666.0,2.299999952316284,1.4224211770355741,1.3888551594330483,1.3453053676865645,1.3648138568907235,1.4405120911410423
Trevor Ariza,2013-14,2723.0,0.699999988079071,0.9147354208120186,0.8441519967388733,0.8041444253118012,0.7679845288634848,0.8470976139453615
Anderson Varejao,2013-14,1800.0,3.5999999046325684,2.081273964873028,1.9109030798801625,1.8826163688558615,1.7927958911375357,1.9906955339887709
David West,2013-14,2472.0,1.5,2.1980808348338976,2.6856494958857,2.6905507695847466,2.721151924962883,2.2394902685059814
Deron Williams,2013-14,2059.0,0.6000000238418579,1.1794325471213662,0.8803496787526104,0.7868699028285797,0.8456993536120546,1.1150181165444204
Patrick Beverley,2013-14,1751.0,1.899999976158142,1.5640270401152851,1.3904906536303783,1.3519954871952582,1.3393844626160716,1.503908412033007
