player,season,mp,y_offense,y_defense,y_total,ours_offense,direct_defense,selected_defense,rank_first_defense,ours_total,old_total,selected_total,rank_first_total,eRD,eRT
Ricky Rubio,2013-14,2638.0,1.899999976158142,1.7999999523162842,3.700000047683716,2.2644643565639773,1.4074385619155727,1.4150390945587485,1.4131389613979546,3.679503451122726,3.67190291847955,3.679503451122726,3.677603317961932,2.788866443,3.907067603
Jimmy Butler,2013-14,2591.0,0.5,3.400000095367432,3.900000095367432,0.5881764594142048,2.6285245729804907,2.7183504478150353,2.6958939791063994,3.30652690722924,3.2167010323946954,3.30652690722924,3.284070438520604,3.17006237,3.30933675
Blake Griffin,2013-14,2863.0,2.900000095367432,0.3000000119209289,3.200000047683716,3.4528296359134063,1.7592434591550312,1.705714439588891,1.719096694480426,5.158544075502297,5.212073095068438,5.158544075502297,5.171926330393832,0.429203318,3.999632851
Kemba Walker,2013-14,2614.0,1.399999976158142,2.299999952316284,3.799999952316284,1.4876127061433717,2.2049559589048746,2.1240126438178155,2.14424847258958,3.6116253499611872,3.6925686650482463,3.6116253499611872,3.631861178732952,1.076624653,1.575088459
Isaiah Thomas,2013-14,2497.0,3.5,0.4000000059604645,3.900000095367432,4.120200815737944,-0.2185732870964823,-0.22748870796562548,-0.22525985274833968,3.892712107772319,3.901627528641462,3.892712107772319,3.8949409629896046,-0.801645379,2.67564464
Klay Thompson,2013-14,2868.0,2.0999999046325684,0.800000011920929,2.900000095367432,2.164048952753879,1.3526808601938842,1.3419137212682397,1.3446055059996507,3.505962674022119,3.516729812947763,3.505962674022119,3.5086544587535298,0.910559888,2.363586976
Mike Conley,2013-14,2446.0,3.5,0.4000000059604645,3.799999952316284,3.379236616278334,0.2015069327907305,0.21784407371911696,0.21375978848702032,3.597080689997451,3.5807435490690644,3.597080689997451,3.592996404765354,0.318132963,3.116564953
LaMarcus Aldridge,2013-14,2498.0,1.100000023841858,2.200000047683716,3.400000095367432,1.344343269346952,1.5278737524907473,1.425694493072871,1.45123930792734,2.7700377624198227,2.8722170218376992,2.7700377624198227,2.795582577274292,1.260350406,3.121173181
Wesley Matthews,2013-14,2780.0,2.799999952316284,-0.1000000014901161,2.5999999046325684,2.278466543156941,0.1630246663262945,0.25614097003909675,0.23286189411089614,2.5346075131960384,2.4414912094832357,2.534607513196038,2.5113284372678373,-0.119793397,2.557432761
Mario Chalmers,2013-14,2178.0,1.5,2.5,4.0,0.9108809228772128,1.8346435133388448,1.7205134460365121,1.7490459628620951,2.6313943689137247,2.7455244362160576,2.6313943689137247,2.659926885739308,1.165950911,1.322767418
Anthony Davis,2013-14,2358.0,1.2000000476837158,2.299999952316284,3.5,0.6553861878599062,1.06352742177884,1.1023984451529067,1.09268068930939,1.7577846330128128,1.7189136096387463,1.7577846330128128,1.7480668771692964,1.652440338,4.177110951
Robin Lopez,2013-14,2603.0,1.0,2.0,2.900000095367432,0.4567724179911747,2.1776903447002134,2.150842549277778,2.1575544981333867,2.6076149672689533,2.634462762691388,2.6076149672689524,2.6143269161245613,0.180420225,2.04207377
